Insolvenzklicker ///,8b-Spiele,-,"In Insolvenzklicker muss man 500 Punkte erreichen, in dem man auf +1 drückt. Die Phase geht alle 50 Punkte hoch, was das Spiel verschwierigt: <table><tr><td><b>Phase</b></td><td><b>Besonderes</b></td></tr><tr><td>1</td><td>Nix besonderes</td></tr><tr><td>2</td><td>4 Knöpfe, davon nur 1 +1</td></tr><tr><td>3</td><td>Hintergrund -1</td></tr><tr><td>4</td><td>Nicht +1 Knopf sind -1 bis -5</td></tr><tr><td>5</td><td>Machmal erscheint -5 Wand</td></tr><tr><td>6</td><td>+1 ist kleiner</td></tr><tr><td>7</td><td>Knöpfe bewegen sich</td></tr><tr><td>8</td><td>+1 Knopf schneller</td></tr><tr><td>9</td><td>Wand Buffs</td></tr><tr><td>10</td><td>- Knopf Buffs</td></tr><tr><td>Post-Game</td><td>Verliere passiv Punkte</td></tr></table>Phasen gehen nie runter."
Bubble Simulator ///,8b-Spiele,https://idlegameperson.github.io/Bubble_Simulator,"In Bubble Simulator erscheint alle 5 Sekunden eine Blase mit der Zahl 0. Es kann max. 1500 Blasen geben.<br>Blasen mit gleicher Zahl (n) können zu einer Blase mit n+1 kombiniert werden, was <i>floor((2-d)<sup>n</sup>)</i> Punkte gibt. (d = 0,2)<hr><h3>Upgrades</h3><br><b>Wiederholbar</b><table><tr><td><b>Name</b></td><td><b>Kosten</b></td><td><b>Kostenmultiplikator<br>pro Kauf</b></td><td><b>Maximale<br>Kaufanzahl</td><td><b>Effekt</b></td></tr><tr><td><b>Startnummer</b></td><td>50</td><td>4,4</td><td>unendlich</td><td>Erhöht Zahl, mit der<br>Blasen erscheinen, um 1</td></tr><tr><td><b>Blasenrate</b></td><td>10</td><td>1,6</td><td>22</td><td>Blasen erscheinen 20%<br>schneller (max. 10/s)</td></tr><tr><td><b>Punktgewinn</td><td>250</td><td>1,6</td><td>unendlich</td><td>Dividiert d durch 1,25</td></tr><tr><td><b>Bereichgröße</b></td><td>1000</td><td>3,5</td><td>5</td><td>Macht Blasenbereich<br>2,5% kleiner</td></tr></table><b>Nicht wiederholbar</b><br>Fabrik: 7500 Punkte. Produziert jede Sekunde Punkte = die Quadratwurzel von der Summe der Blasenzahlen.<br>Erhöhe: 10000 Punkte. Erhöht erhaltene Punkte um (2,5*höchste Blasenzahl)%."
Zufälliger 2D Platformer ///,8b-Spiele,https://idlegameperson.github.io/2D_Platformer/,"Dieses Spiel ist ein 2D Platformer, welcher mit WAD kontrolliert wird.<br>Man spielt als ein Quadrat. Man startet in Raum 1 im oberen linken Feld.<br>Raum n ist ein (n+19)x(n+19) Labyrinth mit (n+19)<sup>2</sup>/200 Gegnern. Man muss ins untere rechte Feld kommen, um in den nächsten Raum zu kommen.<hr><h3><b>Gegner</b></h3>Man hat 3 Leben. Gegner bewegen sich zufällig,<br>aber haben eine höhere Chance, zum Spieler zu gehen. Auf Berührung eines Gegners<br>verliert man ein Leben und der Gegner wird zu einem Zufallsfeld teleportiert.<br><b>Auf 0 Leben verliert man.</b>"
Ein ganz normales Mathespiel ///,8b-Spiele,https://idlegameperson.github.io/EGNM/,"In diesem Spiel startet man in Runde 1 mit 30€, 2 +, 2 -, 1 * und 1 /.<br>Es gibt eine Zahl, eine Zielzahl, und eine geschriebene Zahl. In jeder Runde startet man mit einer Zahl und Endzahl je zufällig zwischen 1 und 100*2<sup>Runde/10</sup>.<hr><b>Gameplay</b><br>Man schreibt mit seinen Ziffern die geschriebene Zahl. Danach kann man eine seiner Operatoren benutzen, um das folgende zur Zahl zu machen und dann die geschriebene Zahl zu 0 zu setzen:<br>  <i>+</i>: Die geschriebene Zahl zur Zahl addieren.<br>  <i>-</i>: Die geschriebene Zahl von der Zahl subtrahieren.<br>  <i>*</i>: Die Zahl mit der geschriebenen Zahl multiplizieren.<br>  <i>/</i>: Die Zahl durch die geschriebene Zahl dividieren und abrunden.<br>Man kommt in die nächste Runde, in dem man die Zahl auf die Endzahl setzt. Dies gibt nach normalen Runden 8€-12€ und nach Bosskämpfen 16€-24€.<hr><b>Shop</b><br>Im Shop kann man mit € Ziffern und Operatoren kaufen. Dies kostet:<table><tr><td><b>Sache</b></td><td>Kosten</td></tr><tr><td>Eine Ziffer</td><td>3€</td></tr><tr><td>+</td><td>5€</td></tr><tr><td>-</td><td>5€</td></tr><tr><td>*</td><td>8€</td></tr><tr><td>/</td><td>7€</td></tr></table><hr><b>Bosskämpfe</b><br>Jede 10. Runde ist ein Bosskampf. Bosskämpfe haben besondere Bedingungen:<table><tr><td><b>Chance</b></td><td><b>Bosskampf</b></td></tr><tr><td>40%</td><td>Du musst eine sehr große Zahl berechnen. <i>(Start- und Endzahlen zwischen 100*2<sup>Runde/10</sup> und 100*2<sup>Runde/5</sup>)</i></td></tr><tr><td>30%</td><td>Du kannst eine Operation nicht benutzen. <i>(je 7,5% Chance für +, -, *, /)</i></td></tr><tr><td>20%</td><td>Benutzungen erfordern 2 der Sache.</td></tr><tr><td>10%</td><td>Käufe sind doppelt so teuer.</td></tr>"
Time Survival ///,8b-Spiele,-,"In Time Survival muss man so lange wie möglich überleben.<br>Der Spieler ist ein X (Geschwindigkeit: 10km/h) mit 5 Leben, der mit WASD oder den Pfeiltasten kontrollierbar ist.<hr><b>Kreise</b><br>Es gibt Kreise auf dem Bildschirm. Wenn man sie berührt, verliert man Leben. Auf 0 Leben stirbt man. Kreisarten:<table><tr><td><b>Kreisfarbe</b></td><td><b>Erscheint ab _ Sek.</b></td><td><b>Geschwindigkeit</b></td><td><b>Besonderheit</b></td></tr><tr><td>Grün</td><td>0</td><td>20km/h</td><td>Keine</td></tr><tr><td>Blau</td><td>20</td><td>6km/h</td><td>Folgt dem Spieler</td></tr><tr><td>???</td><td>??</td><td>?????</td><td>????? ? ?????</td></tr></table><hr><b>Items</b><br>Nach 10 Sekunden können Items erscheinen. Man hat ein Item-Inventar, welches 3 Items enthalten kann. Man kann sie mit den Tasten 1, 2 und 3 benutzen. Items bewegen sich mit 10km/h auf dem Bildschirm.<table><tr><td><b>Item</b></td><td><b>Chance</b></td><td><b>Dauer</b></td><td><b>Effekt</b></td><td><b>Details</b></td></tr><tr><td>Herz</td><td>50%</td><td>-</td><td>+1 Leben</td><td>Keine</td></tr><tr><td>Apfel</td><td>10%</td><td>2s</td><td>Geschwindigkeitsboost</td><td>+60%</td></tr><tr><td>Stachelball</td><td>10%</td><td>-</td><td>10 verteidigende Stachelbälle erscheinen</td><td>Berühren sie Kreise, zerstören sie den Kreis und sich selbst. Können auch Items zerstören.</td></tr><tr><td>Blitz</td><td>10%</td><td>1s</td><td>Blaue Kreise werden verwirrt</td><td>Bewegen sich nicht mehr</td></tr><tr><td>Uhr</td><td>10%</td><td>1s</td><td>Zeitverschiebung</td><td>Kreisgeschwindigkeit -50%</td></tr><tr><td>Schild</td><td>10%</td><td>1s</td><td>Unendlich Leben</td><td>Keine</td></tr>"
<<<<8b-Kalender ///,Antimaterie,-,"Der 8b-Kalender ist ein Zeitrechnungssystem der 8b. Es ist <b>gut</b><hr><b>Wie es klappt</b><br>- Es gibt 14 Monate mit je 26 Tagen. Jeder Tag eines Monats repräsentiert einen 8b-Schüler.<br>- Am Ende des Jahres ein Spezialtag, nicht Teil eines Monats.<br>- In Schaltjahren gibt es 2 Spezialtage am Ende des Jahres.<br>- Ein Jahr ist ein Schaltjahr, wenn es durch 4, aber nicht durch 128 teilbar ist.<br>- Der erste Tag des Jahres 0 bedeutet der 8. Mai 1911 im gregorianischen Kalender.<hr><b>Schreibweise</b><br>- Zwei Teile zusammen geschrieben ohne Leerzeichen dazwischen.<br>- Zweiter Teil ist ein '.' und dann das Jahr.<br>- Erster Teil, wenn kein Spezialtag, ist zuerst der dazugehörige Buchstabe für den Tag, und dann der Monat (erste Ziffer 0, wenn Monat unter 10).<br>- Erster Teil, wenn Spezialtag, ist zuerst die Angabe der Spezialtagnummer und dann ein 'S'.<br>- Beispiele: E01.104, S13.97, 1S.112, K09.107"">>>"
8bisch,
Die 8bibel
433,
4 im Bezug auf Kegeln,
Ersetzung,
Definitiv ein 8b-Kartenspiel,
Das beste Incremental,/auf Canva/
Geldklicker,
Ein ganz normales Mathespiel 2,
Moses als Bibelindikator
